German Noun;Halunder Article;Noun Halunder;Plural Halunder;Additional Info
Abschleppwagen;de;Utslepewain;Utslepewains;(ö)
acht;-;ach;-;
Achterbahn;de;Achterboan;Achterboan'n;
achtzehn;-;achtain;-;
Acker;de;Akker;Akkers;
Adler;de;Oadler;Oadlers;
Affe;de;Oap;Oapen;
Akrobat;de;Akroboat;Akroboaten;
Alfabet;deät;Alfabeet;-;
alt;-;ool;-;
American Football;-;Amerikoansk Fútboal;-;
Ampel;de;Ampeler;Ampeler;
Ananas;deät;ananas;-;
Angehörige;-;Ooinen;-;*
Angel;de;Hoggel;Hoggelen;
Angeln;deät;Hoggeln;-;
Anhänger;de;Uunhänger;Uunhängers;
Antenne;de;Anten'n;Anten'n;
Apfel;de;Oapel;Oapeler;
Apfelbaum;de;Oapelboam;Oapelboamen;
Apfelsine;de;Oapelsiin;Oapelsiin'n;
Aprikose;de;Aprikoos;Aprikoosen;
Aquarium;deät;Akwarium;Akwariums;
Arm;de;Iärem;Iäremer;
Armbanduhr;de;Iir;Iirn;
artig;-;oorti;-;
Ärztin;deät;Dokter;Dokters;
Astronaut;de;Astronaut;Astronauten;
auf;-;eepen;-;(offen)
Aufzug;de;Wüip;Wüipen;
Auge;de;Oog;Oogen;
Augenbraue;-;Ooghearn;-;*
Auto;deät;Auto;Autos;
Autowäsche;deät;Autowasken;-;
Axt;de;Eäks;Eäksen;
Bach;de;Bach;Taate/Letjen Bäche;
Bäckerin;deät;Bakker;Bakkers;
Badeanzug;de;Boadbrek;Boadbrekken;
Bademantel;de;Boadmantel;Boadmanteler;
Badewanne;de;Boadwan;Boadwan'n;
Badewanne;de;Küp;Küppen;
Badminton;-;Badminton;-;
Bagger;de;Bagger;Baggers;
Bahnhof;de;Boanhoof;Boanhoofs;
Bahnsteig;de;Boanstig;Boanstigen;
Ball;de;Boal;Boain;
Ballon;de;Ballong;Ballongs;
Banane;de;Banaan;Banaan'n;
Banane;de;Banaa;Banaas;alt.
Bank;de;Beenk;Beenken;
Bär;de;Beer;Beeren;
Baseball;deät;Baseballsspeln;-;
Basketball;deät;Kùrowboalsspeln;-;
basteln;-;basteln;-;
Batterie;de;Batterii;Batteriin;
Bauer;de;Buur;Buuren;
Bauernhaus;deät;Buurnhús;Buurnhüsler;
Bauernhof;de;Buurnhof;Buurnhöfe;
Bauklötzchen;de;Buuklots;Buuklotsen;
Baum;de;Boam;Boamen;
Baumstamm;de;Boamstamm;Boamstammen;
Beil;de;Eäks;Eäksen;
Bein;de;Been;Been/Beaner;
Benzin;deät;Bensiin;-;
Berg;de;Berri;Berriger;(ö)
Beruf;de;Beruup;Beruupen;
Besen;de;Beesem;Beesemer;
Besenschrank;de;Beesemskaap;Beesemskaapen;
Bett;deät;Boad;Boaden;
Bettlaken;de;Baadlaken;Baadblaachen;
Bibel;de;Biibel;Biibeln;
Biene;de;Biin;Biin'n;
Bienenstock;de;Biinkùrrow;Biinkùrrower;
Bild;deät;Büil;Büiler;
Bilderbuch;deät;Büilerbuuk;Büilerbukker;
Birne;de;Peer;Peern;
Bison;de;Bison;Bisons;
Blatt;deät;Bleed;Bleed'n;
blau;-;blö;-;
Bleistift;de;Bläidjan;Bläidjans;(-dján)
Blitz;de;Looid;Looid'n;
Blockflöte;de;Blokfloit;Blokfloiten;
Blume;de;Blömken;Blömken;
Blumenbeet;deät;Blömkenbaad;Blömkenbaader;
Bogen;de;Flintenboogi;Flintenspeegeler;
Bogenschießen;deät;Boogenschaiten;-;(das)
Bohne;de;Booan;Booan'n;
Bohrer;de;Böer;Böeren;
Bonbon;de;Boit;Boiten;
Bonbon;de;Sokkerboit(tj);Sokkerboitjis;
Boot;deät;Booat;Booats;
böse;-;bösterk;-;(unartig)
böse;-;marrti;-;(unartig)
Brathähnchen;de;broadet Heen;b. Heener;
Bratpfanne;de;Broadpon;Broadpon'n;
braun;-;brens;-;
braun;-;kleerf;-;alt.
Braut;deät;Braid;Braid'n;
Bräutigam;de;Fraier;Fraiers;
Brautjungfer;deät;Braidjoamel;Braidjoameler;
Brief;de;Breow;Breowen/Breafen;
Briefträger;de;Breafdrager;Breafdreegers;
Brille;deät;Brell;Brellen;
Brötchen;deät;Rinstek;Rinstekken;
Brücke;deät;Brö;Bröen;
Bruder;de;Bruur;Bröörs;
Brust;de;Bös;Bössen;
Bus;deät;Bus;Bussen;
Bügeleisen;deät;Strikirn;Strikbùrder;(-büddö)
Buggy;de;Künnerkeer;Künnerkeern;
Burg;de;Börri;Börriger;
Bürgersteig;de;Fútgengerwai;Fútgengerwain;
Busch;de;Bosk;Bosken;
Busfahrer;de;Busfoorer;Busfoorers;
Butter;deät;Bötter;-;
Butterbrot;de;Bötterskiuw;Bötterskiuwen;
Button;de;Uunsteeker;Uunsteekers;
Café;deät;Kafee;Kafees;
Café;deät;Koffi;Koffis;alt.
CD;de;CD;CD's;
Champignon;de;Champignon;Champignons;
Chips;-;Chips;-;
Clown;de;Klaun;Klauns;
Computer;de;Kompjuuter;Kompjuuters;
Cornflakes;-;Cornflakes;-;*
Cousin;de;Kuseng;Kusengs;
Dach;deät;Toak;Toaken;
Dachpappenstift;de;Papspliker;Papsplaikers;
Dachs;de;Daks;Daksen;
Dampfwalze;de;Dampwalts;Dampwaltsen;
Darm;de;Tärm;Tärmen;
Delphin;de;Delfiin;Delfiin'n;
denken;-;teenk;-;(unreg.)
dick;-;fat;-;
Dienstag;de;Taisdai;-;
Donnerstag;de;Dörpdai;Dörpdain;
Dorf;de;Dörp;Dörpen;sg: (döpp), pl: (döppö)
Dose;de;Doos;Doosen;(Konserven-)
Drachen;de;Droak;Droaken;
draußen;-;buiten;-;
drei;-;tree;-;
Dreieck;de;Treekant;Treekanten;
dreißig;-;treerat;-;
dreizehn;-;tretain;-;
drinnen;-;bennen;-;
dunkel;-;djunk;-;
dünn;-;doun;-;
Dusche;de;Duusch;Duuschen;
Ei;deät;Ai;Aier;
Eichhörnchen;de;Kateeker;Kateekers;
Eidechse;de;Aideks;Aideksen;
Eimer;de;Ommer;Ommern/-s;
einkaufen;-;toophoale;-;
Einkaufstasche;de;Skraap;Skraapen;
Einkaufswagen;de;Keer;Keeren;
Einrad;deät;Iänraad;Iänreäder(s);
eins;-;iän;-;
Eisenbahn;de;Iisenboan;Iisenbeern/Iisenboan'n;
Eisstufe;de;Istuut;Istuuten;
Elefant;de;Elefant;Elefanten;
elf;-;elwen;-;
Ellbogen;de;Elben;Elbenbochen;(ol(b)m)
Ente;de;En'n;Enneken;
Erdbeere;de;Eerbeer;Eerbeern;
Essen;deät;eten;-;(das)
Eule;de;Iil;Iilen;
Fabrik;de;Fabriik;Fabriiken;
Fahne;de;Flag;Flaggen;
Fahrkartenautomat;de;Foortkoortenautomoat;Foortkoortenautomoaten;
Fahrrad;deät;Raad;Reäder(s);
Fahrstuhl;de;Wüip;Wüipen;
Fallschirm;de;Falskürem;Falsküremer;
Familie;-;Ooinen;-;(die nächste), *
fangen;-;fang;-;(unreg.)
Farbe;de;Farrow;Farrowen;(Farbton)
Farbtopf;de;Farrowpot;Farrowpotten;
Feder;de;Fedder;Feddern;
Federbett;de;Fedderdeäk;Fedderdeäken;(ö)
fegen;-;feage;-;
fein;-;fiin;-;
Felsen;de;Näowsteen;Näowsteaner;(öu)
Fenster;deät;Fenster;Fenstern/-s;(ö)
Ferkel;deät;Swiineken;Swiinekenen;(en) (ü)
